Event,Desc
UNC_E_EDC_ACCESS.HIT_DIRTY,Counts the number of read requests and streaming stores that hit in MCDRAM cache and the data in MCDRAM is dirty with respect to DDR. This event is only valid in cache and hybrid memory mode. 
UNC_E_EDC_ACCESS.MISS_CLEAN,Counts the number of read requests and streaming stores that miss in MCDRAM cache and the data evicted from the MCDRAM is clean with respect to DDR. This event is only valid in cache and hybrid memory mode.
UNC_E_EDC_ACCESS.MISS_DIRTY,Counts the number of read requests and streaming stores that miss in MCDRAM cache and the data evicted from the MCDRAM is dirty with respect to DDR. This event is only valid in cache and hybrid memory mode.
UNC_E_EDC_ACCESS.MISS_INVALID,Number of EDC Hits or Misses. Miss I
UNC_E_RPQ_INSERTS,"Counts the number of read requests received by the MCDRAM controller. This event is valid in all three memory modes: flat, cache and hybrid. In cache and hybrid memory mode, this event counts all read requests as well as streaming stores that hit or miss in the MCDRAM cache. "
UNC_E_U_CLOCKTICKS,UCLK count
UNC_E_WPQ_INSERTS,"Counts the number of write requests received by the MCDRAM controller. This event is valid in all three memory modes: flat, cache and hybrid. In cache and hybrid memory mode, this event counts all streaming stores, writebacks and, read requests that miss in MCDRAM cache."
UNC_H_AG0_AD_CRD_ACQUIRED.TGR0,CMS Agent0 AD Credits Acquired For Transgress 0
UNC_H_AG0_AD_CRD_ACQUIRED.TGR1,CMS Agent0 AD Credits Acquired For Transgress 1
UNC_H_AG0_AD_CRD_ACQUIRED.TGR2,CMS Agent0 AD Credits Acquired For Transgress 2
UNC_H_AG0_AD_CRD_ACQUIRED.TGR3,CMS Agent0 AD Credits Acquired For Transgress 3
UNC_H_AG0_AD_CRD_ACQUIRED.TGR4,CMS Agent0 AD Credits Acquired For Transgress 4
UNC_H_AG0_AD_CRD_ACQUIRED.TGR5,CMS Agent0 AD Credits Acquired For Transgress 5
UNC_H_AG0_AD_CRD_ACQUIRED.TGR6,CMS Agent0 AD Credits Acquired For Transgress 6
UNC_H_AG0_AD_CRD_ACQUIRED.TGR7,CMS Agent0 AD Credits Acquired For Transgress 7
UNC_H_AG0_AD_CRD_ACQUIRED_EXT.ANY_OF_TGR0_THRU_TGR7,CMS Agent0 AD Credits Acquired For Transgress 0-7
UNC_H_AG0_AD_CRD_ACQUIRED_EXT.TGR8,CMS Agent0 AD Credits Acquired For Transgress 8
UNC_H_AG0_AD_CRD_OCCUPANCY.TGR0,CMS Agent0 AD Credits Occupancy For Transgress 0
UNC_H_AG0_AD_CRD_OCCUPANCY.TGR1,CMS Agent0 AD Credits Occupancy For Transgress 1
UNC_H_AG0_AD_CRD_OCCUPANCY.TGR2,CMS Agent0 AD Credits Occupancy For Transgress 2
UNC_H_AG0_AD_CRD_OCCUPANCY.TGR3,CMS Agent0 AD Credits Occupancy For Transgress 3
UNC_H_AG0_AD_CRD_OCCUPANCY.TGR4,CMS Agent0 AD Credits Occupancy For Transgress 4
UNC_H_AG0_AD_CRD_OCCUPANCY.TGR5,CMS Agent0 AD Credits Occupancy For Transgress 5
UNC_H_AG0_AD_CRD_OCCUPANCY.TGR6,CMS Agent0 AD Credits Occupancy For Transgress 6
UNC_H_AG0_AD_CRD_OCCUPANCY.TGR7,CMS Agent0 AD Credits Occupancy For Transgress 7
UNC_H_AG0_AD_CRD_OCCUPANCY_EXT.ANY_OF_TGR0_THRU_TGR7,CMS Agent0 AD Credits Occupancy For Transgress 0-7
UNC_H_AG0_AD_CRD_OCCUPANCY_EXT.TGR8,CMS Agent0 AD Credits Occupancy For Transgress 8
UNC_H_AG0_BL_CRD_ACQUIRED.TGR0,CMS Agent0 BL Credits Acquired For Transgress 0
UNC_H_AG0_BL_CRD_ACQUIRED.TGR1,CMS Agent0 BL Credits Acquired For Transgress 1
UNC_H_AG0_BL_CRD_ACQUIRED.TGR2,CMS Agent0 BL Credits Acquired For Transgress 2
UNC_H_AG0_BL_CRD_ACQUIRED.TGR3,CMS Agent0 BL Credits Acquired For Transgress 3
UNC_H_AG0_BL_CRD_ACQUIRED.TGR4,CMS Agent0 BL Credits Acquired For Transgress 4
UNC_H_AG0_BL_CRD_ACQUIRED.TGR5,CMS Agent0 BL Credits Acquired For Transgress 5
